original_variable,new_variable
Student ID,sid
"ES 1.1 
(2 points)",Es_1q1
"ES 1.2 
(3 points)",Es_1q2
"ES 2.1
(2 points)",Es_2q1
"ES 2.2
(3 points)",Es_2q2
"ES 3.1
(1 points)",Es_3q1
"ES 3.2
(2 points)",Es_3q2
"ES 3.3
(2 points)",Es_3q3
"ES 3.4
(2 points)",Es_3q4
"ES 3.5
(3 points)",Es_3q5
"ES 4.1
(15 points)",Es_4q1
"ES 4.2
(10 points)",Es_4q2
"ES 5.1
(2 points)",Es_5q1
"ES 5.2
(10 points)",Es_5q2
"ES 5.3
(3 points)",Es_5q3
"ES 6.1
(25 points)",Es_6q1
"ES 6.2
(15 points)",Es_6q2
"TOTAL
(100 points)",final_score
