sid,interim_scr2,interim_scr3,interim_scr4,interim_scr5,interim_scr6
1,5.0,0.0,4.5,4.0,2.25
2,4.0,3.5,4.5,4.0,1.0
3,3.5,3.5,4.5,4.0,0.0
4,6.0,4.0,5.0,3.5,2.75
5,5.0,4.0,5.0,4.0,2.75
6,5.5,3.5,4.5,3.0,3.0
7,4.0,4.0,4.5,4.0,2.0
8,4.0,3.5,4.0,3.0,0.0
9,0.0,3.0,4.0,4.0,2.0
10,5.0,4.0,4.5,4.0,3.0
11,4.0,2.0,5.0,4.0,1.5
12,3.5,3.5,4.5,4.0,2.0
13,0.0,0.0,5.0,4.0,3.0
14,6.0,4.0,5.0,4.0,2.75
15,2.0,4.0,5.0,4.0,2.0
16,3.0,2.5,5.0,4.0,2.0
17,3.5,3.5,5.0,4.0,4.0
18,5.0,4.0,4.5,4.0,3.0
19,4.0,2.0,4.5,4.0,1.5
20,3.0,3.0,4.5,3.5,2.0
21,5.0,0.0,3.5,0.0,0.0
22,4.5,0.0,4.0,4.0,0.0
23,0.0,1.5,4.0,3.5,0.0
24,2.5,2.0,4.5,3.5,3.0
25,0.0,1.5,4.5,4.0,2.25
26,0.0,0.0,4.0,0.0,0.0
27,0.0,3.0,4.5,4.0,1.75
28,6.0,4.0,5.0,4.0,3.0
29,4.0,3.0,5.0,4.0,3.75
30,3.0,2.0,4.5,4.0,2.75
31,0.0,0.5,4.0,3.0,0.0
32,5.5,4.0,5.0,4.0,3.5
33,0.0,0.0,4.0,0.0,0.0
34,4.5,3.5,5.0,3.0,1.25
35,0.5,0.5,3.5,3.5,1.5
36,5.5,4.0,5.0,4.0,2.75
37,0.0,0.0,4.5,3.5,3.0
38,4.0,2.5,4.5,3.5,3.0
39,3.0,1.0,4.5,3.5,2.5
40,0.0,0.0,3.0,2.5,0.0
41,5.5,4.0,5.0,4.0,3.25
42,3.0,2.5,4.0,4.0,1.5
43,4.5,2.5,4.5,0.0,0.0
44,5.5,4.0,4.5,4.0,3.0
45,0.0,1.0,4.5,2.5,0.0
46,2.0,0.5,4.0,4.0,1.0
47,4.0,2.0,4.0,2.5,0.25
48,3.5,2.5,4.5,4.0,2.5
49,3.0,2.5,4.5,3.5,2.75
50,2.0,2.0,4.0,3.5,1.5
51,1.0,1.0,4.0,4.0,0.5
52,6.0,4.0,5.0,4.0,2.25
53,4.0,3.0,4.5,3.5,3.0
54,4.5,3.5,4.5,3.5,0.75
55,2.0,3.5,4.5,4.0,2.5
56,2.5,3.0,4.5,3.0,3.0
57,0.0,0.0,4.5,0.0,2.75
58,0.0,0.0,4.5,0.0,0.0
59,3.5,2.0,4.0,3.5,2.0
60,2.0,0.5,4.0,3.5,1.0
61,0.0,1.0,4.5,3.5,1.5
62,0.0,0.0,4.0,0.0,0.0
63,3.5,1.5,5.0,3.5,1.0
64,0.0,0.0,4.0,3.5,1.5
65,0.0,0.0,4.0,3.5,1.5
66,0.0,2.0,4.5,3.0,2.25
67,5.5,4.0,4.5,4.0,2.75
68,5.5,3.5,5.0,4.0,3.0
69,0.0,0.5,4.0,4.0,2.0
70,5.5,4.0,5.0,4.0,3.25
71,5.0,0.0,5.0,3.5,0.0
72,4.5,3.0,4.0,3.5,2.75
73,4.5,3.0,4.0,0.0,2.0
74,3.0,1.5,5.0,4.0,1.75
75,0.0,4.0,5.0,4.0,2.0
76,4.0,4.0,4.0,4.0,2.0
77,0.0,0.0,4.0,0.0,0.0
78,2.5,3.0,5.0,4.0,2.75
79,5.0,3.5,4.5,4.0,2.75
80,3.5,1.0,5.0,4.0,2.5
81,5.0,4.0,5.0,4.0,2.75
82,2.5,2.5,4.0,3.5,1.5
83,4.0,2.5,4.5,4.0,2.0
84,2.5,0.0,4.5,0.0,0.0
85,6.0,4.0,5.0,4.0,4.0
86,5.0,4.0,5.0,4.0,3.25
87,4.0,3.5,4.5,3.5,2.25
88,5.0,3.0,5.0,4.0,2.75
89,0.5,1.5,3.5,2.5,0.5
90,3.5,2.5,4.5,3.5,3.0
91,6.0,4.0,5.0,4.0,2.25
92,2.5,2.5,4.5,4.0,1.0
93,4.0,4.0,4.5,4.0,1.5
94,5.5,4.0,5.0,4.0,2.75
95,4.0,3.5,5.0,3.0,3.25
96,4.5,0.0,5.0,4.0,2.25
97,4.0,3.0,4.5,0.0,0.5
98,3.5,4.0,5.0,4.0,3.0
99,2.0,2.5,4.0,3.5,1.5
100,3.5,2.0,0.0,4.0,3.0
101,4.5,1.5,0.0,3.5,0.0
102,4.5,4.0,4.0,3.5,2.0
103,2.0,0.0,0.0,3.5,0.0
104,6.0,0.0,4.5,4.0,2.75
105,0.0,0.5,0.0,0.0,0.0
106,0.0,3.5,0.0,0.0,0.0
107,0.0,1.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0
111,3.0,0.0,0.0,3.0,0.0
112,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
